Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
9/3/2019,Los Angeles,CA,Worker fatally injured in fall on ground.,1434684,State,No
9/3/2019,Coopersburg,PA,Worker died when mower rolled off embankment.,1427797,Federal,Yes
9/1/2019,Ventura,CA,Worker drowned in ocean after boat caught fire.,1433725,Federal,No
8/31/2019,Miami Beach,FL,Worker died in fall from roof.,1429734,Federal,Yes
8/31/2019,Moberly,MO,Worker fatally crushed under mower.,1428422,Federal,No
8/31/2019,Naples,FL,Worker electrocuted by power line.,1427735,Federal,Yes
8/30/2019,Coldwater,MI,Worker fatally struck by front end loader.,1428306,State,No
8/30/2019,Houston,TX,Worker died in equipment explosion.,1430148,Federal,Yes
8/30/2019,Clovis,NM,Worker electrocuted while servicing HVAC unit.,1431053,State,No
8/30/2019,West Columbia,SC,Worker fatally struck by forklift.,1427872,State,No
8/30/2019,Sonora,CA,Worker died after getting caught in conveyor system.,1427761,State,No
8/29/2019,Upper Marlboro,MD,Worker fatally crushed by rolling logs.,1426951,State,Yes
8/29/2019,Walnut Ridge,AR,Worker fatally struck by vehicle.,1427531,Federal,No
8/29/2019,Ripon,CA,Worker fatally crushed y forklift.,1427368,State,No
8/29/2019,Denver,CO,Worker electrocuted when boom of truck contacted power line.,1427504,Federal,No
8/29/2019,Tranquillity,CA,Worker drowned in irrigation ditch.,1427709,State,No
8/29/2019,Corona,NY,Worker fatally struck by I-beam.,1427471,Federal,Yes
8/28/2019,Hudson,IL,Worker electrocuted when crane boom contacted power lines.,1427029,State,No
8/28/2019,Dallas,TX,Worker drowned in swimming pool.,1427762,Federal,No
8/28/2019,Austin,TX,Worker died in fall from ladder.,1427958,Federal,Yes
8/28/2019,Midland,TX,Worker fatally crushed by heat exchanger.,1427270,Federal,No
8/28/2019,Six Mile,SC,Worker fatally struck by falling tree.,1427539,State,Yes
8/28/2019,Syracuse,NY,Worker died after getting caught between commercial dryer shell and base.,1427264,Federal,Yes
8/27/2019,Grinnell,IA,Worker died from allergic reaction to wasp stings.,1427404,Federal,Yes
8/27/2019,Laredo,TX,Worker died in fall from loading dock.,1429500,Federal,Yes
8/27/2019,Troutville,VA,Worker fatally struck by falling crates.,1426585,State,No
8/27/2019,Dunedin,FL,Worker fatally struck by tree trunk.,1426703,Federal,Yes
8/27/2019,Bronx,NY,Worker fatally crushed by concrete blocks.,1426381,Federal,Yes
8/26/2019,Riverbank,CA,Worker fatally crushed by mechanical arm of garbage truck.,1426614,State,No
8/26/2019,Orlando,FL,Worker electrocuted when drill contacted power line.,1425123,Federal,Yes
8/24/2019,Detroit,MI,Worker died in fall from roof.,1425989,State,No
8/24/2019,Miami,FL,Worker electrocuted when branch contacted power line.,1426528,Federal,No
8/24/2019,Hampstead,NC,Worker fatally struck by falling tree.,1426036,State,Yes
8/23/2019,Warsaw,IN,Worker fatally struck by front end loader.,1435746,State,No
8/23/2019,Moline,IL,Worker fatally struck by dump truck.,1425665,Federal,No
8/23/2019,Gahanna,OH,Worker electrocuted when aerial lift contacted power line.,1425597,Federal,Yes
8/23/2019,Elk Horn,KY,Worker fatally struck by vehicle.,1426424,State,No
8/23/2019,New Haven,VT,Worker fatally struck by vehicle.,1425574,State,No
8/22/2019,Dardanelle,AR,Worker fatally crushed by rotary mower.,1425580,Federal,Yes
8/22/2019,Memphis,TN,Worker died from chemical exposure.,1425836,State,Yes
8/22/2019,Reading,PA,Worker fatally crushed in milling nachine.,1425262,Federal,Yes
8/22/2019,Glennville,GA,Worker fatally crushed by sorting machine.,1426882,Federal,Yes
8/21/2019,Binghamton,NY,Worker fatally crushed by motor vehicle.,1425242,Federal,No
8/21/2019,Portland,OR,Worker died in vehicle collision.,1426438,State,No
8/21/2019,El Centro,CA,Worker fatally struck by rolling tractor.,1425550,State,Yes
8/20/2019,Throckmorton,TX,Worker fatally injured by gas pressure release.,1418494,Federal,Yes
8/20/2019,Laredo,TX,Worker died in fall from roof.,1428395,Federal,Yes
8/20/2019,Davidson,NC,Worker had fatal reaction to insect bite.,1439981,State,Yes
8/20/2019,Pocatello,ID,Worker died in fall when truss collapsed.,1426362,Federal,Yes
8/20/2019,Kearny,NJ,Worker died in fall from forklift.,1428311,Federal,No
8/20/2019,Mcallen,TX,Worker died when platform debris box fell from forklift.,1425066,Federal,Yes
8/20/2019,Hopkinsville,KY,Worker died when tractor overturned.,1427881,State,Yes
8/19/2019,Hearne,TX,Worker fatally crushed by motor vehicle.,1425038,Federal,Yes
8/19/2019,Kiowa,KS,Worker electrocuted by wiring.,1424679,Federal,Yes
8/19/2019,Warwick,NY,Two workers electrocuted when guy wires contacted power lines.,1424692,Federal,Yes
8/19/2019,Newport News,VA,Worker died from fall in confined space.,1424783,Federal,No
8/19/2019,Minneapolis,MN,Worker fatally struck by front-end loader.,1429323,State,No
8/18/2019,Deer Lodge,MT,Worker fatally struck by demolition derby vehicle.,1425617,Federal,No
8/18/2019,Jber,AK,Worker fatally struck by steel gate.,1424292,Federal,No
8/18/2019,Portland,ME,Worker fatally struck by refuse truck.,1424856,State,No
8/18/2019,Commack,NY,Worker died in fall from truck liftgate.,1435875,Federal,No
8/18/2019,Chicago,IL,Worker electrocuted while cleaning ducts above exhaust hood.,1424818,Federal,No
8/17/2019,Lincoln,NE,Worker died in fall from ladder.,1424832,Federal,Yes
8/17/2019,Traverse City,MI,Worker died in fall from wall.,1424514,State,No
8/16/2019,Signal Hill,CA,Worker died in fall from ladder.,1424770,State,No
8/16/2019,Lexington,SC,Worker fatally injured in fall on ground.,1424633,State,Yes
8/16/2019,Rochelle,IL,Worker on side ladder of moving rail car fatally struck parked truck.,1424453,Federal,Yes
8/16/2019,Altamonte Springs,FL,Worker died in fall from bucket truck.,1424936,Federal,Yes
8/15/2019,Sandy,UT,Worker died in fall from billboard catwalk.,1423491,State,No
8/15/2019,Bowman,SC,Worker fatally struck by trailer.,1423977,State,Yes
8/15/2019,Westwego,LA,Worker electrocuted by panel box.,1424021,Federal,No
8/15/2019,Vansant,VA,Worker died in vehicle collision.,1425658,State,No
8/15/2019,Miami,FL,Worker fatally crushed by forklift.,1424686,Federal,Yes
8/15/2019,Marietta,PA,Worker died in fall from trailer.,1423841,Federal,No
8/15/2019,Philadelphia,PA,Worker electrocuted when aluminum flashing contacted power line.,1424231,Federal,No
8/15/2019,Manteca,CA,Worker fatally struck by rotating grape press.,1423456,State,Yes
8/14/2019,Idaho Falls,ID,Worker died in fall from truck.,1426316,Federal,No
8/14/2019,Frisco,TX,Worker fatally crushed when trailer overturned.,1423512,Federal,Yes
8/14/2019,Madras,OR,Worker fatally struck by vehicle.,1440000,State,No
8/14/2019,Phoenix,AZ,Worker died in fall through skylight.,1423452,State,Yes
8/14/2019,Watertown,SD,Worker fatally struck by gate.,1423643,Federal,Yes
8/14/2019,Portland,OR,Worker died in fall from scissor lift.,1426435,State,No
8/14/2019,Jamaica,NY,Worker fatally crushed by vehicle.,1423399,Federal,No
8/13/2019,Wolfforth,TX,Worker fatally struck by dump truck.,1422777,Federal,No
8/13/2019,Creve Coeur,MO,Worker electrocuted while stripping wires in attic.,1424271,Federal,Yes
8/13/2019,Grand Prairie,TX,Worker died in fall from skid tugger.,1423407,Federal,Yes
8/13/2019,Magalia,CA,Worker died in fall from tree.,1422986,State,Yes
8/13/2019,New Wilmington,PA,Worker fatally crushed by water tank wall.,1422999,Federal,Yes
8/13/2019,Moscow,TN,Worker fatally crushed by steel coil.,1422919,State,Yes
8/12/2019,Whitinsville,MA,Worker fatally struck by motor vehicle.,1423195,Federal,No
8/12/2019,Terminal Island,CA,Worker drowned in harbor.,1423041,State,No
8/12/2019,Lakeville,MN,Worker fatally injuried when caught in spinning lathe shaft.,1423556,State,Yes
8/11/2019,Charlotte,NC,Worker fatally crushed by vehicle.,1422519,State,Yes
8/10/2019,Davie,FL,Worker died in fall from roof truss.,1422410,Federal,Yes
8/9/2019,Ellicott City,MD,Worker fatally struck by bucket of front end loader.,1423219,State,No
8/9/2019,Harrisonville,MO,Worker died after receiving electric shock and falling from storage tank.,1422619,Federal,Yes
8/9/2019,Las Vegas,NV,Worker died in fall through hole in floor.,1422176,State,Yes
8/9/2019,Port Jefferson Station,NY,Worker fatally struck by steel guide wire cable.,1422357,Federal,No
8/9/2019,Monroe,OR,Worker fatally struck by rolling equipment.,1431113,State,No
8/9/2019,Monroe,OR,Worker fatally struck by rolling equipment.,1429018,State,No
8/8/2019,Cheyenne,WY,Worker fatally struck by panel that fell from crane.,1422633,State,No
8/8/2019,Raymond,OH,Worker died in fall from powered mobile platform.,1421854,Federal,Yes
8/8/2019,Guilford,VT,Worker fatally struck by skid steer.,1421857,State,No
8/8/2019,Happy Valley,OR,Two workers died in fall from aerial lift.,1422555,State,No
8/8/2019,Pasadena,TX,Worker died after being struck by truck.,1422643,Federal,Yes
8/8/2019,Happy Valley,OR,Worker died in fall from height.,1431410,State,No
8/8/2019,Charlottesville,VA,Worker died in fall from work.,1424478,State,Yes
8/7/2019,Houston,TX,Worker electrocuted after contacting furnace coils.,1421938,Federal,No
8/7/2019,Great Bend,KS,Worker fatally struck by trailer frame.,1421730,Federal,Yes
8/7/2019,Newburgh,NY,Worker electrocuted when hedge trimmer contacted power line.,1422738,Federal,No
8/7/2019,Sacramento,CA,Worker died in fall from ladder.,1421694,State,No
8/6/2019,Chicago,IL,Worker fatally injured in cart collision.,1421143,State,Yes
8/6/2019,Inglewood,CA,Worker died after falling through fence and striking head on ground.,1427311,State,No
8/6/2019,Hinsdale,IL,Worker lost consciousness and drowned inside manhole.,1421152,Federal,No
8/6/2019,Blue Eye,MO,Worker died from heat exhaustion.,1422098,Federal,No
8/6/2019,North Canton,OH,Worker died from heat exhaustion.,1421459,Federal,Yes
8/6/2019,Houston,TX,Worker electrocuted while installing lights.,1421295,Federal,Yes
8/6/2019,Shell Knob,MO,Worker fatally struck by hot air hose.,1422010,Federal,Yes
8/5/2019,Canton,GA,Worker fatally struck by falling column.,1420938,Federal,No
8/5/2019,Afton,OK,Worker died in fall from aerial lift bucket.,1422775,Federal,No
8/5/2019,Jamestown,IN,Worker fatally crushed between two stamping dies.,1422195,State,Yes
8/5/2019,White Castle,LA,Worker died from heat exhaustion.,1422368,Federal,No
8/5/2019,Cordele,GA,Worker died from burns suffered in flash fire.,1418736,Federal,Yes
8/5/2019,Fort Valley,GA,Worker fatally struck by forklift.,1421498,Federal,Yes
8/5/2019,Okeechobee,FL,Worker drowned after lawn mower fell into canal.,1421310,Federal,Yes
8/4/2019,Vance,AL,Worker fatally shot by coworker.,1420854,Federal,No
8/4/2019,Denton,TX,Worker asphyxiated when clothes became caught in machine.,1422803,Federal,No
8/3/2019,Quincy,FL,Worker died in fall from elevated platform.,1417966,Federal,Yes
8/3/2019,West Chicago,IL,Worker fatally struck by material handler.,1421452,Federal,Yes
8/2/2019,Saint Henry,OH,Worker died in fall from elevated platform.,1430981,Federal,No
8/2/2019,Lynnville,IA,Worker fatally injured by grain bin auger.,1420787,State,Yes
8/2/2019,Spencerville,OH,Worker fatally crushed by trash compactor.,1420202,Federal,No
8/2/2019,Amarillo,TX,Worker fatally crushed between beam and pallet.,1420769,Federal,Yes
8/2/2019,Manalapan,NJ,Worker fatally struck by falling tree.,1421146,Federal,No
8/2/2019,Albany,OR,Worker fatally struck by falling tree.,1426434,State,No
8/2/2019,Brooklyn,NY,Worker died in fall from height.,1423927,Federal,Yes
8/1/2019,New Orleans,LA,Worker electrocuted when pruning pole contacted power line.,1420021,Federal,Yes
8/1/2019,Naples,FL,Worker fatally struck by lightning.,1420535,Federal,No
8/1/2019,Aurora,IL,Worker fatally crushed by bundle of lumber.,1419880,Federal,No
8/1/2019,Midland,PA,Worker died after head struck steel beam.,1420382,Federal,Yes
7/31/2019,Ponce,PR,Worker fatally assaulted by inmate.,1420798,State,No
7/31/2019,Seabrook,TX,Worker fatally struck by vehicle.,1419800,Federal,No
7/31/2019,Austin,TX,Worker died in fall while connecting steel beams.,1419679,Federal,Yes
7/31/2019,Viola,KS,Worker fatally crushed inside machine.,1419889,Federal,Yes
7/31/2019,Bakersfield,CA,Worker died from heat exhaustion.,1419916,State,No
7/31/2019,Pickens,AR,Worker fatally engulfed in soybean bin.,1420024,Federal,Yes
7/31/2019,Media,PA,Worker died in fall through stairway hole.,1420653,Federal,No
7/31/2019,Milwaukee,WI,Worker died from asthma attack caused by exposure to grain dust.,1419762,Federal,Yes
7/31/2019,Garden City,GA,Worker drowned when boat capsized.,1420166,Federal,Yes
7/30/2019,Houston,TX,Worker fatally struck by tractor trailer.,1419727,Federal,Yes
7/30/2019,Richmond Heights,OH,Worker died in fall from ceiling.,1420153,Federal,Yes
7/30/2019,Fairless Hills,PA,Worker died in fall from ladder.,1419341,Federal,No
7/30/2019,Kenosha,WI,Worker fatally frushed by loading dock leveling plate.,1419248,Federal,Yes
7/30/2019,High Point,NC,Worker fatally crushed by collapsing ceiling.,1420333,State,Yes
7/30/2019,Arverne,NY,Worker fatally crushed by wall panel.,1419875,Federal,Yes
7/30/2019,Southaven,MS,Worker fatally shot during workplace violence event.,1420137,Federal,No
7/29/2019,Houston,TX,Two workers in confined space died from exposure to hydrogen sulfide gas.,1419013,Federal,Yes
7/29/2019,Clifton,NJ,Worker died in fall from roof.,1418961,Federal,No
7/29/2019,Baton Rouge,LA,Worker fatally struck by truck.,1419137,Federal,No
7/29/2019,Florence,IN,Worker electrocuted while replacing outdoor lighting fixture.,1419179,State,Yes
7/29/2019,Needville,TX,Worker fatally crushed between trailer and dock.,1419306,Federal,Yes
7/29/2019,College Park,GA,Worker electrocuted while working on air conditioning unit.,1420832,Federal,Yes
7/29/2019,Greenville,SC,Worker died in fall from roof.,1419176,State,No
7/29/2019,Creswell,NC,Worker fatally engulfed in grain bin.,1419513,State,Yes
7/28/2019,Fallbrook,CA,Worker died of heat illness.,1419349,State,No
7/27/2019,Honolulu,HI,Worker died in fall from ladder.,1419141,State,Yes
7/27/2019,Lawrenceburg,IN,Worker fatally crushed between lift and concrete abutment.,1427546,State,No
7/27/2019,Pittsburgh,PA,Worker fatally shot.,1426321,Federal,Yes
7/27/2019,Gaffney,SC,Worker died in fall from roof.,1419531,State,Yes
7/27/2019,Hillsborough,NC,Worker died after tripping and falling.,1429311,State,Yes
7/27/2019,West Point,KY,Worker died from heat-related illness.,1422196,State,No
7/26/2019,Carefree,AZ,Worker died in vehicle collision.,1419768,State,No
7/26/2019,Syracuse,IN,Worker fatally struck by vehicle.,1435747,State,No
7/26/2019,Venice,FL,Worker drowned after being pinned under overturned mower.,1418707,Federal,Yes
7/26/2019,Buckeye,AZ,Worker died from heat-related illness.,1420690,State,No
7/25/2019,Park City,UT,Worker died in fall from ladder.,1420991,State,No
7/25/2019,Arlington,TX,Worker fatally injured by industrial blender.,1418652,Federal,Yes
7/25/2019,Gilcrest,CO,Worker fatally burned in transformer explosion.,1418752,Federal,No
7/25/2019,Staten Island,NY,Worker died in fall from scaffold.,1418920,Federal,No
7/25/2019,Phoenix,AZ,Worker fatally injured inside falling crane jib.,1418319,State,Yes
7/25/2019,Sunrise,FL,Worker electrocuted while performing renovations.,1418413,Federal,Yes
7/25/2019,Inverness,FL,Worker died in fall from roof.,1418577,Federal,Yes
7/25/2019,San Diego,CA,Worker fatally struck by falling rebar.,1418460,State,No
7/25/2019,Albuquerque,NM,Worker fatally struck by forklift.,1419872,State,No
7/25/2019,Conway,SC,Two workers fatally struck by vehicle.,1419530,State,Yes
7/25/2019,Chowchilla,CA,Worker electrocuted when forklift ontacted overhead power line.,1418789,State,Yes
7/24/2019,Hempstead,NY,Worker died in fall from staircase.,1421799,Federal,No
7/24/2019,Saginaw,TX,Worker died in fall while inspecting rail car.,1418231,Federal,No
7/24/2019,Westchester,IL,Worker died when utility task vehicle rolled over.,1418562,Federal,Yes
7/24/2019,Atlanta,GA,Worker electrocuted when ladder contacted power line.,1419706,Federal,No
7/23/2019,Saint Peters,MO,Worker fatally struck by falling stack of drywall.,1417475,Federal,Yes
7/23/2019,Saint Louis,MO,Worker drowned after being pinned by mower in creek.,1417330,Federal,Yes
7/23/2019,Hoover,AL,Two workers died in trench collapse.,1428882,Federal,Yes
7/23/2019,Chesapeake,VA,Worker electrocuted while installing residential appliance.,1420788,State,Yes
7/23/2019,Mclean,VA,Worker died in trench collapse.,1417434,State,Yes
7/22/2019,Chicago,IL,Worker died in fall from balcony.,1417091,Federal,Yes
7/22/2019,Cedar,MN,Worker died after being struck by falling tree.,1418826,State,No
7/22/2019,Quincy,CA,Worker died in fall from utility pole platform.,1417696,State,No
7/22/2019,Milwaukee,WI,Worker electrocuted by fuse box.,1419812,Federal,No
7/22/2019,Hamilton,OH,Worker fatally injured in flash fire.,1417086,Federal,Yes
7/22/2019,Salinas,CA,Worker fatally crushed between truck tire and frame.,1417470,State,Yes
7/22/2019,Bear,DE,Worker died from heat-related illness.,1417066,Federal,No
7/22/2019,Louisville,KY,Worker fatally struck by vehicle.,1417734,State,Yes
7/22/2019,Santa Barbara,CA,Worker trimming trees electrocuted when bucket lift contacted power line.,1417131,State,No
7/21/2019,Roswell,NM,Worker died in fireworks explosion.,1409913,State,No
7/20/2019,Chicago Heights,IL,Worker electrocuted while installing lights.,1417075,Federal,Yes
7/20/2019,Walnut Grove,KY,Worker died in fall from roof.,1420339,State,Yes
7/19/2019,Lexington Park,MD,Worker died after head struck ground in fall.,1419618,State,No
7/19/2019,Manitou Springs,CO,Worker died in vehicle collision.,1417468,Federal,No
7/19/2019,Mesquite,TX,Worker died in fall from roof.,1416729,Federal,Yes
7/19/2019,Hondo,TX,Worker died from heat-related illness.,1416912,Federal,Yes
7/19/2019,Toledo,OH,Two workers fatally engulfed in grain tank.,1416467,Federal,Yes
7/19/2019,Lehigh Acres,FL,Worker died following spinal injury suffered while adjusting trailer.,1424049,Federal,No
7/19/2019,Fayetteville,AR,Worker died from heat-related illness.,1416907,Federal,Yes
7/19/2019,Pleasanton,TX,Worker died in air compressor explosion.,1416622,Federal,Yes
7/18/2019,Springfield,OH,Worker fatally struck by tree limb.,1420757,Federal,Yes
7/18/2019,East Palestine,OH,Worker died from heat stroke.,1416774,Federal,No
7/18/2019,Avondale,AZ,Worker electrocuted by air conditioning unit.,1416542,State,No
7/18/2019,Fountain Inn,SC,Two workers fatally crushed by falling gable.,1417717,State,Yes
7/18/2019,Decatur,TX,Worker died from heat-related illness.,1419298,Federal,Yes
7/18/2019,Asheboro,NC,Worker died in fall from tree.,1416661,State,Yes
7/18/2019,Surfside,FL,Worker electrocuted when rebar contacted power line.,1455875,Federal,No
7/18/2019,Georgetown,SC,Worker electrocuted by conductors for light fixture motion sensor.,1416984,State,Yes
7/18/2019,Clermont,FL,Worker died in fall from ladder.,1417646,Federal,Yes
7/18/2019,Surfside,FL,Worker electrocuted when rebar rod contacted power line.,1416543,Federal,Yes
7/18/2019,Mount Airy,NC,Worker died in fall at recycling center.,1418076,State,Yes
7/17/2019,Manitowoc,WI,Worker died from infection after being cut by aluminum light fixture.,1416621,Federal,No
7/17/2019,Jonesboro,AR,Worker electrocuted while changing light fixtures.,1416479,Federal,Yes
7/17/2019,Ambridge,PA,Worker electrocuted while putting labels on wires.,1415998,Federal,Yes
7/17/2019,Saint Pauls,NC,Worker fatally hit by trailer.,1416292,State,Yes
7/17/2019,Milner,GA,Worker electrocuted by contact with distribution pole.,1416458,Federal,No
7/17/2019,Clearwater Beach,FL,Worker drowned in ocean near beach.,1424935,Federal,Yes
7/17/2019,Rosedale,NY,Worker died in fall from roof.,1417897,Federal,Yes
7/16/2019,Holy Cross,IA,Worker fatally struck by falling tree.,1416007,State,Yes
7/16/2019,Shreveport,LA,Worker fatally struck by steel pipe.,1416695,Federal,Yes
7/16/2019,Grand Blanc,MI,Worker fatally crushed by concrete slab.,1417643,State,No
7/16/2019,Christiansburg,VA,Worker fatally struck by falling concrete abutment wing.,1415472,State,No
7/16/2019,Windermere,FL,Worker drowned while performing weed control.,1416831,Federal,Yes
7/15/2019,Fullerton,CA,Worker died in fall from stairs of motor coach.,1415855,State,No
7/15/2019,Cleveland,OH,Worker fatally crushed between scissor lift and overhead structure.,1415363,Federal,No
7/15/2019,Baltimore,MD,Worker fatally shot.,1417419,State,No
7/15/2019,Jamaica,NY,Worker fatally crushed between concrete wall and mechanical lift.,1415334,Federal,No
7/15/2019,Murrieta,CA,Worker died in gas leak explosion.,1416232,State,No
7/15/2019,Mountainside,NJ,Worker fatally crushed under pallet of fertilizer bags.,1415330,Federal,No
7/13/2019,Columbus Grove,OH,Worker fatally struck by falling truss.,1415350,Federal,Yes
7/13/2019,Cheboygan,MI,Worker died in fall from ladder.,1417530,State,No
7/13/2019,Abingdon,VA,Worker fatally struck by falling tree.,1415241,State,No
7/13/2019,Harrisburg,PA,Worker fatally struck by suspended load on scissor lift.,1415399,Federal,Yes
7/13/2019,Fort Lauderdale,FL,Worker fatally struck by metal bar.,1416018,Federal,Yes
7/13/2019,Cutler Bay,FL,Worker died from carbon monoxide exposure.,1415159,Federal,No
7/12/2019,Montgomery,TX,Worker fatally struck by section of falling tree.,1414784,Federal,No
7/12/2019,Spring,TX,Worker died after being struck by lightning.,1415741,Federal,No
7/12/2019,Calumet,OK,Worker fatally crushed when rebar cage collapsed.,1416761,Federal,Yes
7/11/2019,Spring,TX,Worker died in fall from tree.,1415508,Federal,No
7/11/2019,Allentown,PA,Worker fatally crushed by dump truck bed.,1414590,Federal,No
7/11/2019,Aldan,PA,Two workers asphyxiated in sewer manhole.,1414585,Federal,Yes
7/11/2019,Torrance,CA,Worker fatally struck by jack stand plate.,1415096,State,No
7/11/2019,Lindsay,OK,Worker electrocuted by power line.,1416788,Federal,No
7/11/2019,Manning,ND,Worker fatally struck by vehicle.,1418705,Federal,Yes
7/11/2019,Oxnard,CA,Worker fatally struck by forklift.,1415221,State,No
7/11/2019,Sparks,NV,Worker died in fall from communications tower.,1415254,State,Yes
7/10/2019,Watson,IN,Worker fatally shot by co-worker.,1415915,State,Yes
7/10/2019,Delta,IA,Worker electrocuted when sprayer boom contacted power line.,1414732,State,Yes
7/10/2019,Chicago,IL,Worker died after becoming caught in car wash equipment.,1414668,Federal,Yes
7/10/2019,Oak Creek,WI,Worker died in fall through wall opening.,1413955,Federal,No
7/9/2019,Peoria,AZ,Worker died from exposure to difluoroethane.,1432968,State,Yes
7/9/2019,Big Spring,TX,Worker fatally crushed between military truck and boom truck.,1414205,Federal,No
7/9/2019,Phoenix,AZ,Worker died in fall through skylight.,1413908,State,No
7/8/2019,Castle Rock,CO,Woker fatally crushed between parts of front end loader.,1413685,Federal,Yes
7/8/2019,Kingwood,TX,Worker electrocuted while welding air conditioner unit.,1413739,Federal,No
7/8/2019,Beaumont,TX,Worker fatally crushws under load of bulk wood feedstock pulp.,1414246,Federal,Yes
7/8/2019,El Reno,OK,Worker died in tanker truck explosion.,1416790,Federal,No
7/8/2019,Charlotte,NC,Worker fatally struck by loader.,1414086,State,Yes
7/8/2019,Memphis,TN,Worker died in fall from ladder.,1414009,State,Yes
7/8/2019,Taylor,MS,Worker fatally crushed in wall collapse.,1413676,Federal,Yes
7/8/2019,Richmond Hill,GA,Worker asphyxiated while inside underground vault.,1414056,Federal,Yes
7/7/2019,Davenport,IA,Worker electrocuted while unjamming pinsetter machine.,1413901,State,Yes
7/7/2019,Miami,FL,Worker fatally struck by pipe.,1413459,Federal,Yes
7/6/2019,Augusta,GA,Worker fatally struck by tree limb.,1413563,Federal,Yes
7/5/2019,Coyanosa,TX,Worker fatally struck by falling pipe.,1413311,Federal,Yes
7/5/2019,Dallas,TX,Worker on ladder electrocuted when gutter contacted power line.,1413367,Federal,Yes
7/5/2019,San Diego,CA,Worker died in fall from scaffold.,1413991,State,No
7/5/2019,Visalia,CA,Worker fatally crushed under tractor.,1413481,State,Yes
7/4/2019,San Antonio,TX,Worker died when forklift tipped over.,1413192,Federal,No
7/4/2019,Broadalbin,NY,Worker electrocuted when crane line contacted power line.,1413476,Federal,No
7/3/2019,Elwood,NE,Worker fatally crushed between skid steer and milling machine.,1414080,Federal,No
7/3/2019,Commerce,CA,Worker died in fall from forklift safety cage.,1417264,State,No
7/3/2019,Absarokee,MT,Worker died when utility task vehicle rolled over.,1413334,Federal,Yes
7/3/2019,Arvilla,ND,Worker fatally engulfed in corn bin.,1413904,Federal,Yes
7/3/2019,Encino,CA,Worker died in trench collapse.,1415782,State,Yes
7/2/2019,Gallatin,MO,Worker died in fall from roof.,1412956,Federal,No
7/2/2019,Greenwood,IN,Worker fatally crushed between docking plate and trailer.,1415916,State,Yes
7/2/2019,Lodi,NJ,Worker fatally crushed between car and automotive equipment.,1413582,Federal,No
7/2/2019,Wichita,KS,Worker trimming trees electrocuted after contacting power lines.,1412661,Federal,Yes
7/2/2019,Liberal,KS,Worker fatally struck by part of oil pump.,1413010,Federal,Yes
7/2/2019,South Beach,OR,Worker fatally crushed when house fell off jacks.,1414933,State,No
7/2/2019,San Diego,CA,Worker fatally drushed by crane counterweight.,1412698,State,No
7/2/2019,Southampton,NY,Worker died in fall from beam.,1451729,Federal,No
7/2/2019,Lancaster,CA,Worker died from heat exhaution.,1416236,State,No
7/2/2019,Willmar,MN,Worker died in fall from trailer.,1414471,State,Yes
7/2/2019,Kingsford,MI,Worker fatally struck by falling ductwork.,1412993,State,No
7/1/2019,Rockport,TX,Worker fatally struck by tractor.,1413677,Federal,No
7/1/2019,Inman,NE,Worker died from heat stroke.,1412918,Federal,Yes
7/1/2019,Hayward,CA,Worker died from carbon monoxide exposure.,1413219,State,No
7/1/2019,Freeport,NY,Worker died in fall from scaffold.,1412522,Federal,No
7/1/2019,Benton,KY,Worker died in vehicle collision.,1413783,State,Yes
6/30/2019,Hanover,MD,Worker changing tire fatally struck by vehicle.,1412591,State,No
6/30/2019,Phoenix,AZ,Worker electrocuted in underground vault room.,1412326,State,No
6/29/2019,Houston,TX,Worker died in fall from tree.,1412615,Federal,No
6/29/2019,Curtis Bay,MD,Worker drowned while test driving repaired boat.,1413339,Federal,Yes
6/29/2019,Northport,AL,Worker died in fall from water tower.,1413100,Federal,No
6/29/2019,Bradenton,FL,Worker died of heat stress.,1415385,Federal,Yes
6/29/2019,Olmsted,IL,Worker drowned while performing underwater demolition operations.,1413160,Federal,Yes
6/28/2019,West Creek,NJ,Worker died in fall from telecommunications tower.,1412187,Federal,Yes
6/28/2019,Maricopa,AZ,Worker died in fall from roof.,1413675,State,No
6/27/2019,Orem,UT,Worker fatally struck by part of pressurized tank.,1412524,State,No
6/27/2019,Brooklyn,IA,Worker fatally struck when tire burst under pressure.,1412122,State,Yes
6/27/2019,Webster Springs,WV,Worker died in fall from tree.,1416067,Federal,Yes
6/27/2019,Kingsville,TX,Worker fatally struck by rolling truck.,1412542,Federal,Yes
6/27/2019,Midland,MI,Worker fatally crushed by trailer.,1417796,State,No
6/26/2019,Galt,CA,Worker fatally struck by loader.,1411313,State,Yes
6/26/2019,Raleigh,NC,Worker electrocuted by florecent light fixture.,1411982,State,Yes
6/25/2019,Aurora,CO,Worker died in fal from roof.,1410991,Federal,Yes
6/25/2019,Wauwatosa,WI,Worker fatally crushed when lawnmower fell from floor jack.,1410730,Federal,Yes
6/25/2019,Princeton,NJ,Worker electrocuted by power panel.,1410840,Federal,No
6/25/2019,Lake Forest,IL,Worker performing flagging duties fatally struck by truck.,1410855,Federal,No
6/25/2019,Syracuse,NY,Worker electrocuted while replacing light bulb.,1411005,Federal,Yes
6/25/2019,Yabucoa,PR,Worker died in oil tank explosion.,1412578,State,Yes
6/25/2019,Gilchrist,OR,Worker died in fall through floor opening.,1412741,State,No
6/25/2019,Gilchrist,OR,Worker died in fall through floor opening.,1431111,State,No
